City,Population,Region
Accra,2291352,Greater Accra
Kumasi,2069350,Ashanti
,539548,Western
Ashiaman,298841,Greater Accra
Sunyani,248496,Brong-Ahafo
Tamale,233252,Northern
Cape Coast,227269,Central
Obuasi,180334,Ashanti
Teshie,176597,Greater Accra
Tema,161612,Greater Accra
Madina,143356,Greater Accra
Koforidua,130810,Eastern
Wa,105821,Upper West
Techiman,104212,Brong-Ahafo
Ho,99375,Volta
Nungua,86431,Greater Accra
Lashibi,86188,Greater Accra
Dome,84904,Greater Accra
Tema New Town,83267,Greater Accra
Gbawe,80991,Greater Accra
Oduponkpehe,80820,Central
Ejura,75390,Ashanti
Taifa,74264,Greater Accra
Bawku,71074,Upper East
Aflao,69284,Volta
Agona Swedru,68216,Central
Bolgatanga,68183,Upper East
Tafo,62382,Ashanti
Berekum,62364,Brong-Ahafo
Nkawkaw,61785,Eastern
Akim Oda,60604,Eastern
Winneba,60331,Central
Hohoe,58155,Volta
Yendi,52774,Northern
Suhum,49398,Eastern
Kintampo,49046,Brong-Ahafo
Adenta East,45409,Greater Accra
Nsawam,44522,Eastern
Mampong,42795,Ashanti
Konongo,42550,Ashanti
Asamankese,39435,Eastern
Wenchi,39187,Brong-Ahafo
Savelugu,39092,Northern
Agogo,36797,Ashanti
Anloga,36771,Volta
Prestea,35760,Western
Effiakuma,35094,Western
Tarkwa,34941,Western
Elmina,33576,Central
Dunkwa-on-Offin,33379,Central
Begoro,29516,Eastern
Kpandu,28917,Volta
Kintampo,27921,Brong-Ahafo
Navrongo,27524,Upper East
Axim,27719,Western
Apam,26466,Central
Salaga,26153,Northern
Saltpond,24689,Central
Akwatia,23766,Eastern
Shama,23699,Western
Keta,23207,Volta
Nyakrom,22911,Central
Bibiani,21583,Western
Somanya,20596,Eastern
Foso,20541,Central
Aburi,18701,Eastern
Mumford,18368,Central
Bechem,17677,Brong-Ahafo
Duayaw Nkwanta,17476,Brong-Ahafo
Kade,16542,Eastern
Anomabu,14389,Central
Akropong,13785,Eastern
Kete-Krachi,11788,Volta
Kibi,11677,Eastern
Kpandae,11540,Northern
Mpraeso,11190,Eastern
Akim Swedru,10379,Eastern
Aboso,9945,Western
Bekwai,5267,Ashanti
Japekrom,25267,Brong-Ahafo
Banda Ahenkro,5267,Brong-Ahaf
